,model,displ,cyl,trans,drive,fuel,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
0,ACURA RDX,3.5,6.0,SemiAuto-6,2WD,Gasoline,small SUV,3,20,28,23,5,No
1,ACURA RDX,3.5,6.0,SemiAuto-6,4WD,Gasoline,small SUV,3,19,27,22,4,No
2,ACURA TLX,2.4,4.0,AMS-8,2WD,Gasoline,small car,3,23,33,27,6,No
3,ACURA TLX,3.5,6.0,SemiAuto-9,2WD,Gasoline,small car,3,20,32,24,5,No
4,ACURA TLX,3.5,6.0,SemiAuto-9,4WD,Gasoline,small car,3,21,30,24,5,No
5,ACURA TLX AWD A-SPEC,3.5,6.0,SemiAuto-9,4WD,Gasoline,small car,3,20,29,23,5,No
6,ACURA TLX FWD A-SPEC,3.5,6.0,SemiAuto-9,2WD,Gasoline,small car,3,20,30,23,5,No
7,ALFA ROMEO 4C,1.8,4.0,AutoMan-6,2WD,Gasoline,small car,1,24,34,28,6,No
8,ALFA ROMEO Giulia,2.9,6.0,Auto-8,2WD,Gasoline,midsize car,3,17,24,20,4,No
9,AUDI A3,2.0,4.0,AMS-6,4WD,Gasoline,small car,7,24,31,27,6,No
10,AUDI A3,2.0,4.0,AMS-7,2WD,Gasoline,small car,7,26,35,29,6,No
11,AUDI A3 Cabriolet,2.0,4.0,AMS-6,4WD,Gasoline,small car,7,22,30,25,5,No
12,AUDI A3 Cabriolet,2.0,4.0,AMS-7,2WD,Gasoline,small car,7,25,33,28,6,No
13,AUDI A4,2.0,4.0,AMS-7,4WD,Gasoline,small car,5,24,34,27,6,No
14,AUDI A4,2.0,4.0,Man-6,4WD,Gasoline,small car,3,24,33,27,6,No
15,AUDI A4 Ultra,2.0,4.0,AMS-7,2WD,Gasoline,small car,3,27,37,31,7,Yes
16,AUDI A5,2.0,4.0,AMS-7,4WD,Gasoline,small car,5,24,34,27,6,No
17,AUDI A5,2.0,4.0,Man-6,4WD,Gasoline,small car,3,24,33,27,6,No
18,AUDI A5 Cabriolet,2.0,4.0,AMS-7,4WD,Gasoline,small car,5,24,34,27,6,No
19,AUDI A5 Sportback quattro,2.0,4.0,AMS-7,4WD,Gasoline,midsize car,5,24,34,27,6,No
20,AUDI A6,2.0,4.0,AMS-7,2WD,Gasoline,midsize car,5,25,34,28,6,No
21,AUDI A6,2.0,4.0,SemiAuto-8,4WD,Gasoline,midsize car,5,22,31,26,5,No
22,AUDI A6,3.0,6.0,SemiAuto-8,4WD,Gasoline,midsize car,3,20,29,23,5,No
23,AUDI A7,3.0,6.0,SemiAuto-8,4WD,Gasoline,midsize car,3,20,29,23,5,No
24,AUDI A8 L,3.0,6.0,SemiAuto-8,4WD,Gasoline,large car,3,19,29,22,4,No
25,AUDI Q3,2.0,4.0,SemiAuto-6,2WD,Gasoline,small car,3,20,28,23,5,No
26,AUDI Q3,2.0,4.0,SemiAuto-6,4WD,Gasoline,small car,3,20,28,23,5,No
27,AUDI Q5,2.0,4.0,SemiAuto-7,4WD,Gasoline,small SUV,3,23,27,25,5,No
28,AUDI Q7,2.0,4.0,SemiAuto-8,4WD,Gasoline,standard SUV,3,19,25,21,4,No
